generation,id,novelty,score,species,parent1,parent2
183,89978,10.91362495943995,0.7617977023782231,3,89545,89510
184,90384,11.039639805510198,0.7619580964259549,7,89943,89891
185,90573,15.175367780707948,0.7573094494574657,10,89832,90160
186,91386,7.283066197886176,0.7600499549788156,7,90919,90938
187,91739,9.96997202442944,0.7625098963609814,11,81953,91238
188,92211,11.276778301055117,0.7591357564930746,11,91756,91756
189,92726,12.78991145827143,0.754971617089841,11,92211,81953
190,93204,11.854914818294601,0.7590588484385337,11,92683,92723
191,93722,11.599787200253097,0.7558847992885579,10,92985,93245
192,93929,13.894717494651472,0.7553892727265067,10,93767,92513
193,94744,10.112133126405592,0.7620608525620249,7,94261,94261
194,95297,11.671711111811163,0.7590171967915104,7,94738,94311
195,95440,12.175298200285194,0.7601631930781099,10,94934,94917
196,96235,10.240352051794163,0.7580358414402765,7,95290,95759
197,96655,8.99847017565943,0.7611429163717415,9,91820,96089
198,97212,15.268724276160459,0.7599388188665425,7,96706,96710
199,97621,12.110501340734867,0.7622672052813412,9,96128,96128
200,98174,7.03333131430371,0.7624058191777116,7,97681,94701
201,98715,10.684344741767218,0.7568730470404711,7,98208,98208
202,98831,7.498533849207468,0.7613828775457735,10,98341,98356
203,99722,9.968964903861028,0.7608900957412709,3,99232,99232
204,100104,8.813865508083719,0.7619680401255872,7,98230,99659
205,100378,10.128143894254912,0.7613833505294305,12,99821,99858
206,100785,10.11731375081342,0.761750270189414,10,99795,100303
207,101543,8.456814413223317,0.7622900767499472,11,101047,101057
208,101975,11.487858351899847,0.7528122423855935,7,101502,98230
209,102519,12.502070043724745,0.7606477321312204,7,102024,102013
210,103144,11.088138649214546,0.7620377317732295,3,102638,102614
211,103585,8.29771801143703,0.7620973480562729,3,103140,94838
212,103954,19.48128738861009,0.7606185055058131,9,103446,103463
213,104526,8.88009441202593,0.7610938158348998,7,103993,104028
214,104995,14.519118571468093,0.7569691455024201,7,104456,104499
215,105400,12.845834712113211,0.754844812338722,7,104525,104992
216,105641,15.708183947310777,0.7593078305179819,10,105158,105155
217,105641,12.295186320230616,0.7593078305179819,10,105158,105155
218,104154,22.496208794464454,0.7463575134098734,10,103655,103705
219,107440,13.882912609322025,0.7583291264824126,7,106837,106860
220,107707,14.428096878762005,0.7611870190092704,8,107211,107198
221,107619,11.738240122526049,0.7585643383329596,10,107151,104154
222,108665,7.233877508846326,0.7611248146694098,8,108187,108187
223,109291,12.681492101452296,0.7594671493907138,7,108804,108767
224,109927,13.571699693481333,0.7624547463860002,7,109313,109347
225,110157,10.846518581552095,0.7559931294095694,8,109592,109596
226,110594,4.834963826129835,0.7617981232407472,8,110143,110143
227,110941,15.445488052380522,0.7594043895806776,13,109995,110450
228,111681,10.320691641092417,0.7625977782720101,11,111201,111172
229,112146,11.779477517082267,0.7610897057100569,11,111644,111644
230,112669,12.428916646954656,0.7507566954735159,7,112237,112249
231,113117,8.748635821856896,0.7602263879675194,7,109880,112670
232,113773,13.762711145865886,0.7611624673455117,12,113222,113222
233,114062,9.552059270661024,0.7616888012128532,7,113166,113591
234,114391,8.666880023541447,0.7626658014783596,10,112061,112061
235,115001,12.461739933396704,0.7612399314931909,7,113166,114599
236,115576,11.743100823637622,0.7532795136504039,7,115035,114605
237,115799,16.768051208459557,0.7570198900979896,13,115313,114833
238,116557,9.329981728689676,0.7588235463139272,7,116040,116040
239,116939,10.72268879394823,0.7583193266855617,9,116378,116378
240,117403,10.92366813694675,0.7607514392289346,9,116939,116939
